         17334 function calls (16969 primitive calls) in 25.060 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       30    0.001    0.000    0.001    0.000 /Users/patrykkozlowski/anaconda3/envs/pyscf_env/lib/python3.8/site-packages/h5py/_hl/group.py:508(__contains__)
        1    0.000    0.000    0.001    0.001 /Users/patrykkozlowski/anaconda3/envs/pyscf_env/lib/python3.8/site-packages/pyscf/pbc/scf/khf.py:471(__init__)
      6/3    0.000    0.000    0.001    0.000 /Users/patrykkozlowski/anaconda3/envs/pyscf_env/lib/python3.8/sre_parse.py:435(_parse_sub)
        1    0.000    0.000    0.001    0.001 /Users/patrykkozlowski/anaconda3/envs/pyscf_env/lib/python3.8/site-packages/pyscf/pbc/gto/cell.py:532(estimate_ke_cutoff)
      112    0.000    0.000    0.001    0.000 /Users/patrykkozlowski/anaconda3/envs/pyscf_env/lib/python3.8/site-packages/pyscf/gto/mole.py:3314(bas_exp)
      6/3    0.000    0.000    0.001    0.000 /Users/patrykkozlowski/anaconda3/envs/pyscf_env/lib/python3.8/sre_parse.py:493(_parse)
       27    0.000    0.000    0.001    0.000 /Users/patrykkozlowski/anaconda3/envs/pyscf_env/lib/python3.8/site-packages/h5py/_hl/base.py:282(file)
       33    0.000    0.000    0.001    0.000 /Users/patrykkozlowski/anaconda3/envs/pyscf_env/lib/python3.8/site-packages/h5py/_hl/group.py:496(__iter__)
       22    0.000    0.000    0.000    0.000 /Users/patrykkozlowski/anaconda3/envs/pyscf_env/lib/python3.8/site-packages/pyscf/gto/mole.py:124(gaussian_int)
       12    0.000    0.000    0.000    0.000 {built-in method builtins.next}
       10    0.000    0.000    0.000    0.000 /Users/patrykkozlowski/anaconda3/envs/pyscf_env/lib/python3.8/site-packages/h5py/_hl/dataset.py:536(dtype)
       75    0.000    0.000    0.000    0.000 /Users/patrykkozlowski/anaconda3/envs/pyscf_env/lib/python3.8/site-packages/numpy/linalg/linalg.py:136(_commonType)
        1    0.000    0.000    0.000    0.000 /Users/patrykkozlowski/anaconda3/envs/pyscf_env/lib/python3.8/site-packages/ase/geometry/cell.py:50(cellpar_to_cell)
        5    0.000    0.000    0.000    0.000 /Users/patrykkozlowski/anaconda3/envs/pyscf_env/lib/python3.8/site-packages/ase/lattice/__init__.py:1338(BCT)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:909(get_code)
        2    0.000    0.000    0.000    0.000 /Users/patrykkozlowski/anaconda3/envs/pyscf_env/lib/python3.8/site-packages/h5py/_hl/files.py:601(__exit__)
        2    0.000    0.000    0.000    0.000 /Users/patrykkozlowski/anaconda3/envs/pyscf_env/lib/python3.8/site-packages/h5py/_hl/files.py:576(close)
        4    0.000    0.000    0.000    0.000 /Users/patrykkozlowski/anaconda3/envs/pyscf_env/lib/python3.8/site-packages/pyscf/gto/mole.py:896(make_atm_env)
        1    0.000    0.000    0.000    0.000 /Users/patrykkozlowski/anaconda3/envs/pyscf_env/lib/python3.8/site-packages/pyscf/gto/mole.py:429(format_basis)
       67    0.000    0.000    0.000    0.000 {built-in method numpy.empty}
        1    0.000    0.000    0.000    0.000 /Users/patrykkozlowski/anaconda3/envs/pyscf_env/lib/python3.8/site-packages/pyscf/scf/hf.py:1488(__init__)
        1    0.000    0.000    0.000    0.000 {built-in method builtins.print}
        3    0.000    0.000    0.000    0.000 /Users/patrykkozlowski/anaconda3/envs/pyscf_env/lib/python3.8/sre_compile.py:598(_code)
        1    0.000    0.000    0.000    0.000 /Users/patrykkozlowski/anaconda3/envs/pyscf_env/lib/python3.8/site-packages/ase/atoms.py:131(__init__)
       12    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(reshape)
        2    0.000    0.000    0.000    0.000 /Users/patrykkozlowski/anaconda3/envs/pyscf_env/lib/python3.8/site-packages/pyscf/pbc/gto/pseudo/parse_cp2k.py:74(search_seg)
        5    0.000    0.000    0.000    0.000 /Users/patrykkozlowski/anaconda3/envs/pyscf_env/lib/python3.8/site-packages/ase/lattice/__init__.py:1250(__init__)
        1    0.000    0.000    0.000    0.000 /Users/patrykkozlowski/anaconda3/envs/pyscf_env/lib/python3.8/site-packages/ase/dft/kpoints.py:608(indices_to_axis_coords)
        1    0.000    0.000    0.000    0.000 /Users/patrykkozlowski/anaconda3/envs/pyscf_env/lib/python3.8/site-packages/numpy/core/arrayprint.py:1571(_array_str_implementation)
        1    0.000    0.000    0.000    0.000 /Users/patrykkozlowski/anaconda3/envs/pyscf_env/lib/python3.8/tempfile.py:512(NamedTemporaryFile)
        1    0.000    0.000    0.000    0.000 /Users/patrykkozlowski/anaconda3/envs/pyscf_env/lib/python3.8/site-packages/pyscf/pbc/gto/cell.py:544(_extract_pgto_params)
        1    0.000    0.000    0.000    0.000 /Users/patrykkozlowski/anaconda3/envs/pyscf_env/lib/python3.8/site-packages/ase/dft/kpoints.py:100(resolve_kpt_path_string)
